batch_id,temperature_c,pressure_kpa,cycle_time_sec,material_humidity_pct,operator_experience_years,machine_age_years,shift_hours_into_day,vibration_mm_s,power_consumption_kwh,defect_flag
B00049,188.8,149.5,131.4,2.34,14.5,9.4,13.4,3.3,43.5,1
B00050,212.3,117.5,53.9,4.01,7.0,2.2,8.4,6.03,52.7,1
B00051,167.0,89.0,133.4,1.85,6.7,5.9,12.7,1.76,47.1,0
B00052,215.4,158.7,76.4,6.82,11.0,1.9,13.1,1.08,84.2,0
B00053,165.6,127.7,116.4,2.73,7.2,2.6,20.4,2.5,59.2,0
B00054,242.7,140.1,96.3,3.36,13.7,2.2,15.8,0.43,67.4,0
B00055,199.8,121.8,133.5,3.98,11.6,8.1,21.1,4.91,42.2,0
B00056,209.6,101.7,45.5,5.76,6.9,13.4,16.6,5.87,37.6,1
B00057,177.4,129.9,57.7,1.56,15.7,4.8,6.9,4.15,58.5,0
B00058,196.5,124.5,112.1,5.0,10.2,9.3,0.4,2.66,64.7,0
B00059,170.4,129.8,68.9,6.59,7.7,4.7,22.1,1.89,50.4,0
B00060,186.0,137.4,115.6,5.15,3.5,4.5,1.1,4.0,73.3,1
B00061,182.7,127.5,52.3,2.47,10.9,3.9,0.9,6.33,51.6,0
B00062,231.3,161.2,84.2,1.2,17.5,9.1,7.8,2.53,61.9,0
B00063,210.3,158.1,145.4,1.99,10.2,0.8,11.8,4.95,75.1,0
B00064,190.3,135.6,50.4,6.51,12.2,5.4,21.4,3.5,39.1,1
B00065,219.2,148.6,147.2,5.01,2.0,5.6,18.7,2.59,33.5,1
B00066,194.3,92.5,121.7,3.65,17.6,10.2,18.4,1.78,40.0,0
B00067,229.6,88.2,120.4,2.79,6.4,13.3,16.8,3.7,34.3,0
B00068,240.5,111.4,44.5,0.82,3.9,9.3,16.8,2.31,65.9,1
B00069,228.8,97.7,116.6,1.0,16.6,4.9,21.1,5.64,24.5,0
B00070,196.1,130.9,81.0,7.68,3.6,6.6,6.3,5.02,56.3,0
B00071,170.4,111.9,128.0,4.92,9.2,12.4,3.2,0.52,34.4,1
B00072,232.0,118.6,72.5,7.28,18.0,11.6,22.6,0.62,52.8,1
B00073,176.7,93.2,76.0,3.97,6.3,2.5,15.5,6.0,79.6,1
B00074,219.2,157.3,51.5,4.2,15.8,12.5,12.6,4.13,56.6,1
B00075,186.8,128.8,107.6,3.99,1.7,1.7,12.1,4.13,32.9,1
B00076,197.8,108.8,47.1,3.01,13.6,8.0,10.1,0.56,41.5,0
B00077,216.3,100.5,45.9,2.06,8.2,12.6,22.2,2.29,56.9,1
B00078,238.6,91.8,61.6,2.97,1.9,3.7,6.8,3.93,43.5,1
B00079,193.3,120.7,145.7,8.18,7.7,0.8,17.8,3.73,64.1,1
B00080,169.2,91.9,120.5,2.94,16.3,3.0,2.6,0.93,62.3,1
B00081,241.9,107.2,75.5,2.27,17.1,4.0,22.4,5.2,91.8,0
B00082,218.3,138.4,51.1,4.39,10.1,4.4,14.5,3.39,40.4,1
B00083,190.6,109.8,43.1,4.95,6.5,5.3,21.0,3.93,88.2,0
B00084,179.1,97.3,88.8,4.72,2.3,11.0,9.0,2.57,67.3,0
B00085,227.1,109.2,75.0,3.3,5.8,1.7,18.9,4.22,81.2,1
B00086,216.8,99.1,128.8,8.24,4.7,6.0,1.6,6.15,50.9,1
B00087,165.7,151.8,152.1,4.83,11.0,2.7,20.3,4.63,27.4,1
B00088,189.7,106.7,81.3,3.56,10.1,2.6,0.6,2.9,81.1,0
B00089,166.3,116.6,45.7,4.25,11.5,6.5,5.8,2.77,33.7,0
B00090,244.3,92.5,138.8,6.63,7.4,3.6,1.9,0.71,55.1,1
B00091,233.0,150.0,97.6,7.07,13.4,4.9,9.2,6.38,28.5,0
B00092,244.9,93.9,152.7,6.2,10.3,9.9,22.7,5.08,73.9,1
B00093,219.3,93.7,96.3,7.95,9.3,5.9,7.9,4.37,89.5,0
B00094,197.4,138.1,86.0,3.7,18.0,9.7,11.1,1.03,72.0,0
B00095,241.9,145.7,147.9,6.72,3.6,13.0,19.8,5.75,80.3,1
B00096,226.8,121.6,153.9,1.15,1.2,11.5,5.6,5.92,66.0,1
B00097,180.8,116.6,99.5,4.24,3.6,7.2,7.8,5.74,87.1,1
B00098,224.7,107.6,98.2,4.55,15.2,13.2,8.1,5.46,54.8,0
B00099,196.2,102.0,55.9,8.41,17.4,9.2,10.8,4.94,84.4,1
B00100,166.9,130.8,142.7,8.39,12.0,12.8,17.2,5.75,77.6,1
B00101,223.1,93.8,66.9,5.63,11.9,7.1,4.6,4.37,83.0,0
B00102,207.5,103.8,137.6,7.72,5.5,11.6,14.8,6.31,34.2,1
B00103,181.0,90.5,76.8,0.74,18.0,9.0,2.9,1.4,66.2,0
B00104,242.1,135.7,129.7,6.21,7.5,4.9,19.6,3.48,26.8,0
B00105,186.3,115.5,144.8,1.26,8.9,6.2,22.6,2.83,77.6,0
B00106,190.4,152.3,150.3,5.52,9.7,5.0,10.9,5.66,57.9,1
B00107,172.6,163.5,44.0,5.59,15.2,1.4,1.1,0.7,36.6,1
B00108,193.2,160.9,113.4,4.17,15.4,11.1,13.5,6.41,42.3,0
B00109,190.7,118.6,57.0,4.28,17.0,12.4,12.1,4.75,62.4,0
B00110,195.6,113.0,74.6,3.27,3.3,8.0,21.1,6.02,60.0,0
B00111,202.2,118.1,114.7,4.35,18.0,7.4,16.4,5.48,42.2,0
B00112,230.2,110.7,130.2,2.46,1.6,12.3,13.6,6.3,27.3,1
B00113,170.4,105.9,92.2,1.37,13.0,1.4,10.6,6.27,48.2,0
B00114,243.6,156.7,50.6,6.01,14.0,8.2,12.5,3.89,79.2,1
B00115,185.3,161.4,73.0,6.29,4.6,1.1,21.4,0.93,88.5,0
B00116,232.5,121.8,59.7,5.92,7.0,10.4,16.4,6.54,29.0,1
B00117,243.3,107.8,121.5,1.61,15.0,5.7,2.9,4.84,72.5,0
B00118,226.2,157.7,75.2,1.79,9.3,1.7,18.4,2.02,79.7,0
B00119,180.4,118.8,103.6,3.18,12.7,7.1,14.5,4.75,50.0,0
B00120,222.0,95.4,46.9,5.51,13.0,1.6,21.9,5.4,75.1,1
B00121,183.6,90.4,145.3,4.35,16.1,5.7,3.1,1.64,85.2,1
B00122,210.0,91.5,136.8,4.71,5.8,5.0,21.2,3.48,53.3,1
B00123,180.1,137.8,92.2,2.05,17.2,10.8,19.2,0.78,61.2,0
B00124,167.8,132.2,83.2,4.02,9.0,6.1,14.8,0.91,32.2,0
B00125,189.0,128.0,100.8,3.82,11.9,9.7,10.6,1.13,89.3,0
B00126,210.7,150.8,120.4,6.7,0.8,2.4,1.3,1.7,71.0,0
B00127,190.7,118.2,102.9,5.19,15.7,4.7,8.2,3.09,83.0,0
B00128,227.3,98.4,64.2,3.7,15.0,8.3,17.4,1.49,25.6,0
B00129,179.5,97.2,55.1,6.97,6.7,10.0,12.4,1.4,59.2,1
B00130,186.8,95.5,98.3,7.53,16.0,9.2,21.6,6.37,88.7,0
B00131,191.3,147.3,92.9,3.44,13.7,6.8,14.0,0.46,79.6,0
B00132,214.3,126.7,50.9,1.03,4.5,4.9,11.6,1.05,65.4,1
B00133,174.7,115.1,123.3,2.27,0.6,5.0,11.8,5.52,72.7,0
B00134,239.5,153.4,48.5,7.03,11.5,13.7,8.0,5.29,41.3,1
B00135,167.4,93.8,153.5,1.74,4.1,5.3,6.4,0.65,33.9,1
B00136,204.7,88.9,128.8,3.87,9.3,11.5,21.3,1.46,48.9,1
B00137,237.0,92.9,138.2,6.49,7.0,2.4,4.6,4.63,26.5,1
B00138,220.0,117.2,118.8,6.95,6.5,1.7,6.3,3.17,27.3,0
B00139,217.0,139.5,150.3,3.56,11.2,0.7,2.9,2.29,60.0,0
B00140,232.7,113.9,143.5,5.65,10.2,4.0,14.0,6.79,60.4,0
B00141,205.3,136.5,153.1,2.29,3.0,6.6,8.9,4.61,91.6,0
B00142,213.9,128.4,95.7,0.86,13.6,10.5,1.3,1.23,30.5,0
B00143,213.3,158.4,118.4,7.53,9.8,11.9,2.3,3.47,79.5,0
B00144,199.3,129.3,141.3,2.69,3.2,2.4,17.0,3.18,54.5,0
B00145,183.1,103.7,125.6,2.51,4.1,4.8,18.1,5.2,67.2,1
B00146,231.5,104.8,145.3,6.83,2.8,1.9,10.0,4.66,50.0,1
B00147,192.7,147.7,74.6,4.07,9.0,7.0,21.6,4.38,26.1,1
B00148,202.7,142.6,67.0,4.88,8.1,9.5,12.1,4.14,91.3,1
B00149,216.7,156.1,136.8,6.97,15.3,13.8,16.0,0.6,44.2,0
B00150,197.9,154.4,154.3,7.68,12.6,13.8,19.9,5.59,77.7,1
B00151,184.8,142.3,65.1,0.81,0.7,6.3,8.4,3.56,70.5,1
B00152,198.1,159.8,91.5,1.86,2.5,0.6,8.9,4.35,88.4,0
B00153,166.0,130.0,74.1,5.89,11.9,8.0,13.7,0.49,75.2,0
B00154,202.5,132.7,106.2,5.3,13.7,1.0,8.5,1.37,60.0,0
B00155,233.8,107.0,138.3,1.19,6.4,4.2,4.2,5.1,77.8,0
B00156,211.7,114.8,120.8,6.55,15.4,8.3,18.1,4.45,73.3,0
B00157,196.0,118.8,141.5,5.34,5.6,0.7,7.7,3.91,78.2,1
B00158,244.1,164.4,107.6,3.65,15.4,13.9,10.6,6.26,63.7,1
B00159,206.2,153.5,146.8,5.39,13.6,2.3,8.6,1.78,25.3,0
B00160,227.0,164.0,128.3,3.74,11.5,1.6,21.0,5.06,34.9,1
B00161,242.2,88.1,88.0,7.75,2.4,11.6,23.4,5.73,24.5,1
B00162,225.3,129.8,106.6,8.22,2.2,9.7,11.2,2.9,73.7,1
B00163,218.5,114.9,136.3,4.25,0.8,7.6,5.0,2.94,80.6,0
B00164,199.2,108.0,54.3,5.95,12.3,9.2,6.9,0.43,62.2,0
B00165,241.0,126.7,122.3,1.77,4.6,4.8,5.1,4.09,27.6,0
B00166,182.7,136.9,110.8,1.92,5.6,7.5,16.4,4.23,67.0,0
B00167,223.9,140.9,95.3,4.02,16.6,10.8,14.3,3.67,31.8,0
B00168,243.4,97.9,105.2,5.21,7.4,2.9,3.4,3.47,39.0,0
B00169,237.0,109.2,136.0,0.75,11.1,7.8,6.8,6.25,81.1,0
B00170,201.1,137.0,80.3,4.62,13.9,7.5,5.7,4.68,51.2,0
B00171,237.2,94.2,55.6,3.57,9.1,5.2,3.2,5.99,45.6,1
B00172,215.4,150.2,86.5,2.27,3.3,6.6,21.7,3.06,68.5,0
B00173,165.6,157.6,55.2,3.75,8.2,2.3,2.9,5.77,77.9,1
B00174,223.9,109.2,53.9,4.62,6.9,9.8,1.3,3.14,87.2,0
B00175,238.1,109.2,103.0,8.46,10.4,6.8,21.4,1.74,31.0,0
B00176,206.7,153.0,119.2,4.39,16.8,6.9,21.9,4.55,47.1,0
B00177,195.3,118.5,68.3,6.27,5.7,7.7,13.6,5.77,75.2,0
B00178,222.1,107.4,72.7,4.88,14.5,10.9,20.1,2.02,37.8,0
B00179,198.1,114.0,130.6,6.35,11.8,1.5,23.2,2.89,62.7,0
B00180,215.0,157.8,79.5,5.14,1.6,2.5,12.0,2.55,25.2,0
B00181,219.4,119.3,111.3,4.84,1.1,12.9,14.6,1.48,59.4,1
B00182,165.4,161.2,102.7,1.16,7.9,13.7,15.4,1.88,52.8,0
B00183,198.7,130.6,55.8,6.29,13.5,5.6,22.5,1.39,29.5,0
B00184,235.0,139.3,132.2,3.06,3.6,8.8,10.5,5.19,70.8,1
B00185,209.6,158.3,61.7,1.97,5.0,3.4,12.1,4.74,27.5,1
B00186,180.9,92.6,62.5,4.7,16.1,3.7,19.0,6.37,45.7,1
B00187,186.5,106.0,104.5,4.88,8.4,3.1,17.7,3.6,62.3,0
B00188,242.2,154.3,101.7,3.15,5.7,7.3,3.1,4.69,84.7,0
B00189,215.5,136.9,129.7,8.23,1.5,6.1,23.0,5.86,36.2,1
B00190,190.5,144.3,111.4,3.64,4.9,5.5,11.9,4.28,35.2,0
B00191,206.7,122.4,47.5,7.52,10.2,9.1,12.1,3.67,61.8,1
B00192,233.0,125.0,146.4,2.5,6.5,5.0,17.4,5.99,64.5,0
B00193,181.8,97.8,79.2,3.69,6.0,11.1,5.5,3.89,25.7,0
B00194,168.9,134.7,102.0,2.52,9.1,8.7,10.5,6.57,33.9,0
B00195,196.7,156.0,120.9,8.14,16.5,3.7,15.2,5.89,31.2,0
B00196,180.8,138.3,146.1,5.97,13.4,2.0,16.7,2.69,34.6,0
B00197,173.2,161.2,98.2,6.3,7.3,10.9,19.8,0.72,51.9,0
B00198,217.5,115.9,115.0,6.94,12.1,4.5,3.0,1.68,39.8,1
B00199,181.3,146.5,61.6,7.43,7.8,2.0,13.3,0.88,35.3,0
B00200,186.4,112.7,76.0,5.33,11.6,7.7,19.6,0.71,53.6,0
B00201,185.2,102.7,124.2,2.67,11.0,3.1,8.2,5.23,85.6,0
B00202,195.0,115.7,67.5,6.93,5.0,7.3,23.4,4.75,82.6,0
B00203,201.4,160.3,44.9,8.17,5.5,13.4,21.1,4.47,87.7,1
B00204,226.8,142.2,115.0,3.6,14.1,12.1,10.7,4.27,73.8,0
B00205,226.8,101.2,46.4,6.12,17.3,6.2,14.4,3.89,80.8,1
B00206,192.6,139.5,57.7,8.19,12.1,4.4,20.5,5.33,76.9,0
B00207,193.1,91.0,72.4,6.4,11.8,9.9,9.8,2.1,31.4,1
B00208,193.7,100.2,88.6,5.73,5.2,3.0,7.5,6.31,26.7,0
B00209,197.3,147.1,92.7,7.6,15.4,11.9,18.9,6.21,39.8,1
B00210,177.2,102.0,140.3,6.32,10.6,4.3,19.6,5.23,26.2,0
B00211,216.5,121.5,53.7,2.39,1.0,7.0,9.3,6.32,36.2,0
B00212,200.9,104.6,50.6,8.26,16.3,12.6,17.2,3.32,65.9,1
B00213,210.8,97.3,71.7,2.89,10.2,12.2,12.3,6.25,41.6,0
B00214,178.7,93.0,59.5,6.6,11.4,11.9,10.9,5.95,55.9,1
B00215,210.6,129.6,42.6,2.53,8.7,8.8,16.8,4.94,52.6,0
B00216,242.7,160.3,150.8,8.35,10.5,5.1,4.8,1.72,71.4,1
B00217,230.3,118.7,52.5,7.75,12.7,10.6,4.6,6.65,42.2,0
B00218,166.5,147.6,78.0,2.88,16.1,10.1,6.1,5.33,70.2,0
B00219,178.6,156.3,152.5,7.04,10.5,7.6,5.9,5.28,81.4,1
B00220,176.3,100.1,154.8,4.73,1.6,3.4,20.3,4.15,43.7,1
B00221,168.5,149.8,142.4,5.22,11.0,3.8,13.6,1.93,72.4,1
B00222,242.5,135.1,55.5,7.5,3.4,13.5,9.2,4.61,61.4,1
B00223,216.7,151.5,75.8,4.1,2.1,9.5,2.5,5.8,24.5,1
B00224,234.9,153.7,83.0,2.63,15.1,2.5,2.1,4.75,39.5,1
B00225,165.3,125.6,136.9,1.47,3.0,1.9,12.4,3.56,49.2,1
B00226,220.1,106.8,124.7,2.9,17.1,8.1,18.4,5.33,89.5,0
B00227,193.7,125.6,64.4,4.55,3.5,9.5,16.7,4.45,29.2,1
B00228,235.7,148.8,147.8,7.12,17.0,6.7,16.8,6.21,27.8,1
B00229,244.1,118.4,141.0,8.27,7.6,5.7,9.4,5.25,30.9,1
B00230,238.8,125.6,99.5,5.52,9.1,6.7,21.3,1.27,89.9,0
B00231,231.1,149.6,97.5,4.41,7.2,0.9,23.1,5.01,62.8,1
B00232,239.5,121.1,144.2,3.4,17.2,10.1,9.7,2.0,38.2,0
B00233,168.6,118.9,101.4,3.64,4.1,10.4,20.0,2.25,40.5,0
B00234,206.9,154.9,122.6,6.77,8.4,3.4,19.1,2.14,58.5,0
B00235,194.1,113.7,87.8,4.54,12.8,5.0,11.2,6.3,69.1,0
B00236,238.8,139.2,93.7,6.21,13.8,11.7,14.2,6.72,37.5,1
B00237,210.4,103.7,85.1,2.75,7.0,8.0,21.7,1.88,49.5,0
B00238,177.0,147.4,72.7,5.68,10.2,1.8,2.7,2.96,65.7,1
B00239,173.8,145.4,126.2,5.01,7.0,14.0,0.2,4.02,39.0,1
B00240,231.7,136.2,84.7,5.5,5.2,5.1,7.6,6.04,81.7,0
B00241,204.3,152.6,93.2,5.34,10.0,5.1,3.9,3.62,49.6,0
B00242,168.7,150.1,96.7,2.37,11.9,6.6,7.5,6.21,90.7,1
B00243,176.0,93.0,68.5,5.03,14.7,1.6,23.5,5.37,78.8,1
B00244,198.0,132.4,84.5,2.13,2.6,12.6,5.6,3.31,65.2,0
B00245,232.0,148.6,85.6,1.51,16.6,10.2,10.9,0.94,83.3,1
B00246,231.2,97.1,120.4,7.01,1.6,9.0,21.5,2.52,74.2,1
B00247,221.9,139.5,134.3,4.65,12.8,13.9,9.8,2.6,35.8,0
B00248,170.0,131.9,89.9,5.1,8.6,13.9,0.4,4.88,35.3,0
B00249,205.4,94.6,150.8,6.96,12.5,6.8,22.0,6.11,67.1,0
B00250,240.8,129.5,121.2,5.96,6.9,9.9,14.0,5.86,83.8,0
B00251,167.0,117.8,109.9,3.1,15.9,6.0,7.2,4.98,75.7,0
B00252,230.6,105.5,94.6,7.81,4.1,3.8,20.5,4.91,26.0,1
B00253,232.7,104.5,151.6,0.72,14.5,8.1,16.5,3.61,83.1,0
B00254,192.6,95.4,115.0,4.22,10.2,2.8,16.6,5.39,91.9,0
B00255,203.0,103.7,92.1,4.89,16.1,7.3,21.1,0.8,76.0,0
B00256,211.5,103.5,46.9,3.04,7.6,4.0,6.2,1.9,37.8,0
B00257,203.9,129.0,55.8,7.24,5.0,6.7,20.1,6.35,65.5,1
B00258,236.5,132.2,123.4,1.24,3.9,11.8,1.7,1.2,67.2,1
B00259,192.1,115.8,123.9,6.87,7.7,0.8,1.8,2.57,37.9,0
B00260,198.2,156.6,48.4,3.14,5.9,2.4,6.2,6.75,44.1,0
B00261,196.4,105.5,145.2,5.15,8.5,3.7,9.9,2.76,73.6,0
B00262,244.9,119.0,95.2,3.91,4.4,3.5,17.8,5.67,40.3,1
B00263,224.3,125.3,148.6,7.77,1.9,9.4,10.2,1.3,62.8,1
B00264,173.2,156.6,86.6,6.52,3.9,1.5,1.7,2.4,29.0,0
B00265,211.6,148.6,104.1,5.54,7.0,1.6,9.6,5.58,91.9,0
B00266,210.5,163.4,125.6,1.45,14.1,2.3,2.3,5.9,34.6,0
B00267,223.6,153.0,105.8,2.18,6.0,6.9,10.9,1.5,46.7,1
B00268,220.1,130.3,47.4,1.23,3.7,6.3,8.4,6.51,66.4,0
B00269,209.7,133.0,148.7,4.99,14.1,4.9,8.3,3.05,29.6,0
B00270,200.4,108.7,47.6,1.58,12.6,13.1,14.6,2.14,48.2,0
B00271,234.2,132.3,111.8,3.65,11.8,13.9,22.9,5.47,84.3,0
B00272,214.8,124.8,87.2,8.0,15.4,12.6,20.8,1.77,29.5,0
B00273,206.2,95.9,64.8,1.27,3.5,12.4,5.4,6.01,62.0,0
B00274,179.9,127.4,94.9,3.74,5.5,4.2,22.5,4.38,58.7,0
B00275,231.3,128.5,66.0,6.58,11.0,8.2,17.8,2.27,24.3,1
B00276,195.8,140.3,69.5,5.3,14.1,8.8,15.5,1.23,32.4,0
B00277,241.9,115.3,54.8,2.04,13.7,7.6,16.9,1.44,89.4,1
B00278,220.2,120.0,42.5,3.95,9.5,5.0,10.3,4.95,68.0,0
B00279,209.0,161.4,80.3,3.14,5.7,5.5,17.0,6.36,27.4,0
B00280,205.3,128.2,52.6,3.44,3.4,5.2,14.1,0.71,37.6,0
B00281,182.3,107.1,94.6,3.4,3.1,10.7,12.6,6.16,84.4,0
B00282,172.7,95.6,75.8,5.67,17.5,12.7,17.2,3.31,66.1,0
B00283,190.0,88.3,72.2,2.65,3.8,2.2,2.0,2.97,31.5,0
B00284,169.3,117.5,54.0,3.49,3.8,4.3,13.2,3.29,74.3,1
B00285,222.4,146.9,107.5,2.13,15.0,2.3,13.6,1.43,41.7,0
B00286,207.2,92.8,86.7,2.44,5.9,10.3,8.5,3.74,81.8,0
B00287,167.7,108.8,90.7,3.15,12.7,11.5,15.0,1.89,50.8,0
B00288,206.7,152.4,43.8,1.37,13.7,6.7,17.1,4.99,78.7,1
B00289,166.9,164.7,46.1,2.81,7.4,4.4,4.8,1.1,85.2,0
B00290,209.8,123.9,95.6,5.96,2.2,5.2,19.5,1.15,83.1,0
B00291,225.1,148.4,87.5,5.46,12.7,2.0,6.1,1.36,41.8,0
B00292,229.6,164.1,103.8,3.11,9.9,0.6,2.0,3.32,24.6,0
B00293,197.8,108.4,139.0,3.82,16.2,10.2,4.1,1.41,61.0,0
B00294,189.1,134.5,44.9,3.47,5.5,7.5,17.1,4.35,35.2,0
B00295,199.8,152.8,104.1,5.51,11.3,7.9,19.2,5.12,51.5,0
B00296,175.8,98.2,123.5,6.55,13.9,3.8,7.3,1.62,26.1,0
B00297,218.8,98.8,129.9,7.19,9.9,5.2,15.9,1.06,52.8,0
B00298,231.0,131.6,137.7,2.04,1.4,5.3,10.6,6.08,52.4,1
B00299,167.8,138.3,104.8,2.91,15.0,6.9,3.8,6.37,67.6,0
B00300,234.1,115.3,143.2,2.73,1.6,13.7,9.9,1.3,70.0,0
B00301,222.3,142.7,126.0,4.59,14.2,1.1,15.1,5.95,57.5,0
B00302,178.4,159.1,69.8,3.27,7.8,9.8,8.9,5.56,60.7,1
B00303,203.3,90.7,102.8,5.31,7.0,11.1,20.4,5.92,71.2,1
B00304,207.0,116.6,129.5,5.32,12.3,11.2,8.1,5.65,52.3,0
B00305,184.5,143.6,150.4,4.33,3.6,11.9,7.9,5.55,36.1,1
B00306,191.1,156.7,112.8,3.74,11.9,0.8,18.9,1.07,91.0,0
B00307,227.5,90.4,66.2,2.78,16.2,6.2,3.2,3.77,70.2,0
B00308,194.4,95.1,83.7,3.8,7.1,8.7,18.9,2.78,56.6,0
B00309,193.8,143.4,82.2,6.79,2.6,13.4,0.3,2.36,31.1,0
B00310,203.5,141.3,62.8,2.94,15.1,12.0,17.7,2.83,43.3,0
B00311,181.9,155.6,81.9,7.1,1.0,5.5,16.8,5.45,84.9,1
B00312,187.6,142.4,136.0,0.86,12.3,7.0,17.2,2.92,55.3,0
B00313,223.6,146.0,130.1,2.95,6.5,6.3,1.3,2.02,25.4,0
B00314,168.9,96.6,130.2,3.18,8.1,1.6,4.6,1.24,83.9,0
B00315,203.6,162.7,74.2,4.99,4.1,9.8,10.0,1.14,82.0,0
B00316,212.3,88.4,101.9,4.53,12.0,7.2,19.1,6.39,75.3,0
B00317,222.8,105.2,66.6,7.19,1.5,2.0,0.0,5.89,40.5,1
B00318,210.3,155.2,46.0,5.51,10.2,9.7,20.6,2.37,70.5,1
B00319,242.0,126.2,92.9,7.87,6.5,11.0,6.9,1.4,83.8,0
B00320,210.2,92.3,109.0,7.34,9.3,4.2,19.2,3.7,87.4,1
B00321,217.2,104.4,76.3,7.94,11.2,4.0,5.1,3.55,83.4,0
B00322,180.9,158.5,113.8,1.69,3.0,4.2,17.5,6.61,31.6,1
B00323,228.8,92.3,81.8,3.11,9.7,1.3,3.1,0.5,77.6,0
B00324,223.8,103.4,146.7,1.76,8.1,12.4,6.6,3.26,31.6,0
B00325,188.5,90.1,67.2,4.32,12.8,9.4,19.1,1.94,45.4,0
B00326,180.6,100.0,65.3,2.36,17.3,12.6,13.7,5.52,91.6,0
B00327,196.0,117.2,133.6,6.75,14.1,3.5,17.1,0.69,29.5,1
B00328,235.9,104.7,153.2,6.8,4.0,3.5,10.7,5.91,41.2,0
B00329,219.8,119.6,43.2,7.44,2.6,11.2,15.4,3.66,29.8,1
