customer_id,tenure_months,monthly_bill_rm,support_tickets_last_6m,avg_monthly_data_gb,late_payments_last_12m,contract_length_months,has_family_plan,uses_autopay,satisfaction_score,churned
C00212,18,264.46,8,415.7,6,36,0,1,1,1
C00213,63,254.14,3,287.4,6,36,0,0,5,0
C00214,24,260.82,4,339.0,4,6,1,0,1,1
C00215,60,70.94,3,201.6,1,1,1,1,7,0
C00216,72,57.58,2,339.7,7,6,0,0,4,1
C00217,43,109.64,1,369.6,4,1,0,0,8,0
C00218,15,211.82,0,319.1,4,6,0,1,7,0
C00219,70,233.5,0,205.0,5,36,1,0,1,1
C00220,66,279.99,8,300.9,0,24,0,0,4,1
C00221,16,183.42,6,250.8,4,12,0,0,10,1
C00222,13,103.72,4,137.7,2,6,0,1,8,0
C00223,56,190.53,1,188.8,2,36,1,1,2,0
C00224,3,168.66,3,56.5,6,1,1,0,4,1
C00225,20,241.62,7,59.7,6,6,0,0,6,0
C00226,31,158.32,4,248.6,2,1,0,0,4,1
C00227,11,66.12,7,264.9,2,36,0,1,4,0
C00228,25,260.57,6,303.3,0,1,0,0,6,0
C00229,64,82.82,2,164.8,5,6,0,1,7,0
C00230,45,254.72,5,312.5,0,1,0,1,5,0
C00231,19,154.03,0,403.0,3,12,1,1,6,0
C00232,71,178.13,0,20.5,0,1,1,1,2,0
C00233,18,187.83,2,143.4,5,1,1,0,8,0
C00234,38,165.59,7,410.1,7,6,0,0,7,1
C00235,20,253.39,4,151.2,6,12,1,0,10,0
C00236,65,156.01,2,67.9,6,36,0,0,5,0
C00237,50,179.52,5,318.3,5,24,0,0,4,1
C00238,8,308.93,5,88.1,6,24,1,1,6,1
C00239,68,191.47,0,255.5,2,36,0,0,10,0
C00240,1,53.89,4,228.3,4,1,0,0,9,0
C00241,48,169.4,8,329.0,6,24,1,0,1,0
C00242,47,241.37,7,24.7,5,1,1,0,7,1
C00243,55,138.58,2,327.4,4,24,0,1,8,0
C00244,10,287.66,8,369.7,2,1,0,0,6,1
C00245,52,106.7,6,45.5,7,12,0,1,4,1
C00246,26,90.16,8,72.1,1,24,0,0,2,0
C00247,34,309.7,0,53.0,4,6,0,1,9,0
C00248,38,46.42,2,388.6,5,6,0,1,7,1
C00249,69,130.39,8,32.3,0,36,1,1,7,0
C00250,3,63.78,4,184.9,1,6,1,0,10,1
C00251,3,317.5,7,54.6,4,1,1,0,8,1
C00252,52,261.82,0,182.8,3,1,1,1,3,0
C00253,42,243.55,5,143.8,2,24,1,0,1,1
C00254,53,245.35,0,231.5,1,24,0,1,3,0
C00255,50,60.53,1,300.3,3,1,0,1,1,1
C00256,34,155.41,4,143.7,7,36,0,1,7,0
C00257,60,226.16,7,8.2,6,6,0,1,8,0
C00258,33,236.46,0,414.3,3,1,0,0,6,1
C00259,32,178.62,1,210.1,3,24,0,1,3,0
C00260,5,288.7,3,174.2,6,36,1,0,4,1
C00261,49,196.46,7,30.0,7,6,1,1,6,1
C00262,2,177.17,4,199.4,4,12,1,1,1,0
C00263,5,108.98,1,87.0,4,6,1,1,5,1
C00264,1,133.75,4,223.1,2,1,1,1,5,0
C00265,36,181.88,1,79.0,4,6,0,0,6,0
C00266,44,93.98,0,166.6,5,1,0,0,10,0
C00267,48,125.32,3,381.6,1,6,0,1,2,0
C00268,63,236.42,7,41.4,6,12,0,1,1,1
C00269,25,254.07,4,111.6,3,24,1,0,3,0
C00270,60,101.39,7,151.8,5,24,1,1,3,0
C00271,54,64.8,4,47.8,4,12,0,0,5,1
C00272,53,222.84,3,288.4,5,36,0,0,9,0
C00273,9,77.52,6,314.6,3,24,0,0,1,1
C00274,23,138.97,1,163.5,1,24,0,1,5,0
C00275,59,124.55,7,85.9,5,1,0,0,5,1
C00276,69,219.66,3,418.4,5,36,1,0,10,0
C00277,35,310.14,7,181.0,7,12,0,1,2,1
C00278,59,302.42,5,29.9,1,6,1,0,1,1
C00279,48,171.45,4,96.3,4,6,1,1,2,0
C00280,19,184.78,5,310.6,1,36,1,1,5,0
C00281,23,244.3,6,313.1,2,24,0,1,10,0
C00282,59,48.53,6,25.8,7,24,0,0,1,1
C00283,27,265.95,0,25.8,1,6,1,0,9,0
C00284,39,101.4,5,193.6,6,1,0,1,10,0
C00285,65,302.76,0,271.1,2,24,0,0,9,0
C00286,10,141.2,4,88.5,2,12,0,1,5,1
C00287,27,198.72,7,147.6,1,1,1,0,8,0
C00288,69,316.26,1,52.8,1,12,1,0,9,0
C00289,27,316.41,1,386.3,3,36,0,1,7,0
C00290,14,56.01,8,84.3,0,6,1,0,7,0
C00291,57,227.5,1,303.1,7,36,0,0,7,0
C00292,3,125.94,5,113.8,1,24,1,0,8,0
C00293,2,67.78,4,153.8,6,24,0,0,6,0
C00294,22,167.16,2,127.2,2,6,1,0,7,0
C00295,33,104.66,4,199.0,2,1,1,0,5,0
C00296,65,136.37,4,279.3,6,6,0,1,7,1
C00297,72,148.11,0,163.5,7,36,0,1,1,0
C00298,24,168.81,0,59.9,1,6,1,0,8,0
C00299,20,249.77,5,398.9,7,36,1,1,2,1
C00300,1,276.33,2,209.6,7,36,1,0,2,1
C00301,32,182.26,6,215.5,0,24,1,1,9,0
C00302,60,261.26,1,234.7,4,36,1,0,9,0
C00303,13,189.08,8,128.0,5,36,1,1,2,0
C00304,61,195.57,0,208.9,4,24,1,0,10,0
C00305,57,64.37,0,83.7,7,24,1,1,1,0
C00306,66,301.98,2,49.4,2,6,1,1,8,0
C00307,63,157.13,8,388.1,1,1,1,0,4,0
C00308,42,166.34,6,110.7,4,24,0,1,8,1
C00309,40,156.55,6,180.5,3,36,1,0,7,0
C00310,43,194.83,4,96.1,4,6,0,0,3,0
C00311,9,243.1,2,16.7,4,36,0,1,4,1
C00312,50,165.25,3,38.8,2,12,1,0,1,0
C00313,54,206.78,6,266.8,0,6,0,0,4,0
C00314,63,313.74,4,414.9,3,6,1,0,3,0
C00315,5,95.3,5,377.2,1,1,0,0,6,0
C00316,69,272.75,2,153.6,6,12,1,0,4,1
C00317,29,168.56,2,180.6,5,36,0,1,8,0
C00318,27,98.43,0,164.0,6,6,1,1,4,0
C00319,52,265.54,6,294.1,2,6,0,1,1,1
C00320,46,62.77,0,366.7,5,6,0,1,7,0
C00321,27,309.72,8,214.4,1,24,1,1,2,1
C00322,34,240.41,4,244.6,3,6,0,1,6,1
C00323,68,52.45,5,182.6,5,12,0,1,7,0
C00324,44,192.09,0,343.5,3,1,0,0,2,1
C00325,40,149.44,6,12.9,4,12,0,0,7,0
C00326,24,148.03,8,204.8,5,36,1,1,8,0
C00327,52,241.09,6,389.5,5,12,1,0,8,1
C00328,3,83.66,7,415.3,5,12,0,1,2,0
C00329,13,165.53,8,122.9,4,24,0,1,10,0
C00330,17,303.93,3,280.7,5,12,1,1,6,0
C00331,16,66.97,3,375.2,1,6,0,0,5,0
C00332,10,237.84,0,105.1,5,6,1,0,7,0
C00333,9,288.13,1,5.3,7,12,1,0,6,1
C00334,43,136.19,8,362.7,7,6,1,1,2,1
C00335,4,232.9,4,237.2,4,24,0,0,1,1
C00336,71,149.8,8,297.8,6,6,0,0,10,0
C00337,38,173.88,2,392.3,6,1,1,1,7,0
C00338,58,247.78,7,257.4,4,6,0,0,4,1
C00339,55,297.42,4,184.7,3,1,0,0,8,0
C00340,33,154.22,4,332.4,6,1,0,1,5,0
C00341,52,283.37,3,303.1,3,1,0,1,6,1
C00342,7,48.55,2,331.5,7,12,1,1,7,0
C00343,42,58.87,2,361.9,2,24,0,0,7,0
C00344,44,244.7,4,357.6,2,36,0,0,1,1
C00345,43,160.19,8,195.3,6,12,0,1,3,1
C00346,21,53.84,8,289.5,1,1,0,1,8,1
C00347,27,215.28,5,155.4,5,36,1,0,4,1
C00348,31,170.21,5,17.7,4,6,0,1,9,0
C00349,14,278.25,5,379.7,2,24,0,0,4,1
C00350,65,192.15,1,389.3,1,12,0,1,6,0
C00351,8,58.82,1,334.2,1,6,1,1,4,0
C00352,35,165.72,4,6.3,2,1,0,0,6,0
C00353,43,139.59,0,21.6,3,12,1,0,4,0
C00354,34,291.38,2,285.1,1,6,0,1,5,0
C00355,28,139.22,8,49.7,6,1,1,1,3,1
C00356,39,231.27,3,279.1,5,36,0,0,1,1
C00357,62,230.11,8,272.0,1,24,1,0,4,1
C00358,58,266.85,1,416.3,4,12,1,1,10,0
C00359,5,179.81,2,67.5,0,36,1,1,8,0
C00360,11,226.1,6,326.8,5,12,1,0,1,1
C00361,61,193.68,4,113.7,6,6,1,0,1,1
C00362,4,109.23,7,366.9,2,12,0,0,1,1
C00363,20,198.81,0,33.8,4,1,1,0,7,0
C00364,16,265.55,8,389.7,2,12,0,1,1,1
C00365,67,254.07,0,34.0,1,24,1,1,4,0
C00366,44,84.9,5,136.8,2,36,0,0,3,0
C00367,18,143.29,1,143.2,4,24,0,1,5,0
C00368,28,63.14,5,333.6,5,6,1,0,6,1
C00369,23,253.02,3,322.2,6,12,1,1,3,0
C00370,44,153.09,2,419.6,1,12,1,0,9,0
C00371,70,305.79,0,94.9,7,6,0,1,6,0
C00372,41,148.72,6,304.7,6,1,1,0,3,1
C00373,32,216.91,8,27.4,7,12,0,1,5,1
C00374,44,252.06,5,195.4,6,24,1,1,8,0
C00375,62,205.26,6,350.6,1,36,0,0,1,1
C00376,46,209.77,7,352.0,3,24,0,1,1,1
C00377,26,90.49,8,308.0,2,24,1,0,8,0
C00378,57,164.04,2,328.2,4,12,0,1,8,0
C00379,20,83.84,5,155.3,7,36,0,1,5,0
C00380,72,230.06,8,119.2,7,6,0,0,5,1
C00381,69,242.05,0,127.5,1,36,0,0,10,0
C00382,12,226.53,2,249.3,4,24,0,1,10,0
C00383,11,305.81,8,244.2,6,6,0,1,8,1
C00384,30,178.92,8,404.7,6,12,1,0,6,1
C00385,6,173.0,3,310.6,5,24,0,0,1,1
C00386,41,57.38,1,9.5,7,12,1,1,2,0
C00387,15,220.62,2,245.5,1,12,0,1,8,0
C00388,48,87.84,6,355.6,6,24,0,0,3,1
C00389,26,165.39,6,109.1,4,24,1,1,5,0
C00390,34,187.6,3,219.0,3,6,0,1,8,0
C00391,27,206.26,7,290.8,4,36,0,0,4,0
C00392,42,207.09,1,252.9,3,36,1,0,9,1
C00393,35,228.46,2,395.8,0,6,0,0,9,0
C00394,61,172.97,5,398.1,7,12,0,1,6,1
C00395,72,274.59,0,241.1,3,36,1,1,5,0
C00396,17,185.51,2,284.7,1,24,0,1,8,1
C00397,22,288.82,1,329.5,2,12,1,1,9,0
C00398,50,258.81,6,306.8,7,36,1,1,3,1
C00399,39,318.41,1,198.6,4,36,0,0,3,1
C00400,1,229.22,6,143.2,1,1,0,1,4,0
C00401,56,64.83,5,72.8,7,24,1,0,6,0
C00402,37,143.56,7,345.8,2,1,0,0,2,0
C00403,17,109.81,6,19.0,3,1,0,0,2,1
C00404,48,185.55,6,111.0,2,12,1,0,6,1
C00405,48,283.73,1,77.2,3,24,1,1,2,0
C00406,19,94.45,0,153.7,2,1,0,0,4,0
C00407,62,105.97,0,328.3,4,1,1,1,7,0
C00408,46,198.01,0,330.6,3,6,1,0,3,0
C00409,7,317.39,7,246.1,0,1,1,0,8,1
C00410,38,176.68,5,5.8,5,6,0,1,10,0
C00411,22,170.92,4,378.7,1,6,0,1,1,1
C00412,60,280.22,7,69.6,3,12,1,0,4,1
C00413,26,103.19,6,98.0,5,1,0,0,6,1
C00414,41,143.46,3,73.3,4,1,1,0,7,0
C00415,7,157.0,2,166.4,1,6,1,0,6,0
C00416,24,307.44,3,126.1,6,36,0,0,9,1
C00417,41,84.7,1,85.8,3,36,0,1,8,0
C00418,3,152.76,5,340.7,6,1,0,1,8,1
C00419,66,235.03,5,313.4,7,24,1,1,10,0
C00420,41,234.94,6,82.8,4,36,1,0,3,1
C00421,16,152.45,3,228.7,5,24,1,0,8,0
C00422,27,264.83,0,411.5,7,6,1,0,10,0
C00423,26,228.47,2,62.4,1,12,0,1,8,0
C00424,15,143.27,8,43.7,5,36,0,1,1,1
C00425,49,191.74,8,178.8,1,1,1,1,8,0
C00426,56,234.76,0,69.9,4,1,0,1,10,0
C00427,29,273.29,8,233.5,6,24,0,1,1,1
C00428,39,184.79,0,250.1,6,12,1,1,6,0
C00429,40,164.55,8,331.7,7,12,1,0,5,1
C00430,63,190.59,0,411.1,3,6,0,1,3,0
C00431,31,257.63,0,322.8,5,24,1,1,9,0
C00432,39,64.28,2,80.4,0,6,1,1,9,0
C00433,68,264.62,1,13.6,4,1,0,0,9,0
C00434,16,139.56,3,266.7,1,12,1,0,6,0
C00435,23,236.7,2,294.8,6,6,1,0,9,1
C00436,1,231.32,6,52.6,5,1,1,1,3,1
C00437,37,61.99,8,177.1,7,6,1,1,4,1
C00438,48,217.75,1,314.9,6,36,0,0,1,1
C00439,32,88.37,2,112.2,0,1,0,1,9,0
C00440,11,257.62,2,107.9,0,1,0,0,8,0
C00441,72,318.61,4,16.8,0,6,0,1,10,0
C00442,33,53.99,7,380.0,3,6,1,1,9,0
C00443,38,203.36,2,273.0,5,36,0,0,5,0
C00444,49,126.82,7,53.9,2,36,1,1,8,0
C00445,27,206.3,2,259.2,4,1,1,1,10,0
C00446,60,291.72,5,215.6,2,24,0,0,10,0
C00447,26,236.09,2,331.5,0,1,1,0,3,0
C00448,68,257.22,6,111.7,5,1,0,0,3,1
C00449,48,143.74,1,361.3,3,24,1,0,5,0
C00450,45,247.23,0,201.3,5,6,0,1,6,0
C00451,21,194.56,5,320.7,7,36,0,0,5,1
C00452,31,71.48,2,218.6,7,1,1,0,5,1
C00453,63,138.21,3,6.4,1,24,1,0,8,0
C00454,61,295.11,1,407.1,1,12,0,1,8,0
C00455,2,103.6,3,352.4,1,24,0,1,4,0
C00456,34,243.62,4,272.3,0,1,1,0,2,1
C00457,21,93.47,2,238.3,3,36,0,1,2,1
C00458,19,287.39,2,156.0,6,36,1,0,10,0
C00459,29,49.2,8,202.3,0,24,0,1,6,0
C00460,49,140.24,4,264.1,3,12,1,0,4,0
C00461,24,90.27,3,402.9,3,6,0,0,8,0
C00462,62,261.98,1,382.9,3,12,0,0,9,0
C00463,17,89.83,6,178.1,3,24,1,0,2,1
C00464,25,202.05,3,165.4,2,36,0,1,3,0
C00465,37,289.39,3,142.4,5,12,1,0,2,1
C00466,7,301.57,2,207.8,0,1,0,1,2,1
C00467,44,153.35,5,107.0,4,6,0,1,7,0
C00468,12,84.69,5,309.6,1,36,1,1,2,0
C00469,48,156.65,2,155.8,6,1,0,0,10,0
C00470,3,63.03,7,410.6,0,6,0,0,5,1
C00471,44,153.43,7,224.3,7,6,1,0,10,0
C00472,31,228.7,8,48.1,5,12,1,1,10,0
C00473,65,132.63,0,141.4,7,36,1,0,3,0
C00474,2,234.76,6,102.5,3,1,1,1,2,1
C00475,20,101.29,4,136.3,6,24,1,0,8,0
C00476,50,158.55,6,90.9,0,1,1,0,8,0
C00477,33,119.7,3,188.6,5,24,0,1,8,0
C00478,28,287.7,8,213.4,4,24,0,1,6,1
C00479,67,128.23,7,88.1,7,6,0,0,5,1
C00480,32,276.68,0,7.7,5,24,0,0,9,0
C00481,43,263.82,1,265.7,7,24,1,1,2,1
C00482,6,289.17,6,147.0,2,1,0,1,1,1
C00483,5,182.37,8,212.1,7,12,1,0,8,0
C00484,66,87.27,1,353.9,3,6,1,1,1,0
C00485,9,137.66,0,227.1,7,36,0,0,8,0
C00486,63,127.16,4,309.0,6,24,1,0,4,1
C00487,16,195.21,3,106.7,6,1,0,0,8,1
C00488,67,162.15,1,90.0,1,36,0,1,7,0
C00489,22,186.68,8,314.2,2,6,1,0,10,0
C00490,37,166.01,3,272.9,4,36,0,1,3,0
C00491,63,147.88,1,208.2,0,24,0,0,5,0
C00492,20,102.89,0,86.2,1,24,0,0,2,0
C00493,61,237.17,6,271.6,2,12,1,1,3,0
