property_id,floor_area_sqft,bedrooms,bathrooms,property_age_years,distance_to_city_km,distance_to_mrt_km,parking_spots,furnishing_score,neighborhood_income_rm,monthly_maintenance_rm,sale_price_rm
P0305,3579,6,5,29,14.9,4.86,4,9,9700,947.28,1714219.55
P0306,2768,6,5,0,36.2,0.11,4,7,11300,772.63,1386237.55
P0307,2720,5,5,31,36.6,4.87,3,5,5800,698.99,1118225.59
P0308,2241,6,5,29,37.1,0.52,4,9,6900,755.1,1097725.9
P0309,2165,4,5,3,17.4,4.82,2,5,10100,644.79,1144470.67
P0310,3957,6,5,20,18.0,1.24,4,3,18400,939.16,1984673.16
P0311,982,1,1,29,13.0,0.69,0,4,15000,295.59,560792.85
P0312,1195,4,4,2,9.3,4.3,2,2,21700,373.92,923295.35
P0313,2007,5,5,3,26.2,1.37,3,1,13800,603.72,1050265.17
P0314,937,2,1,8,5.9,0.4,0,3,8500,327.03,556917.93
P0315,2074,6,5,5,22.8,1.37,4,1,5100,585.1,1001596.38
P0316,926,2,1,2,35.9,0.35,2,7,22000,400.18,577669.15
P0317,670,2,3,27,7.8,1.15,0,5,10600,265.2,485231.1
P0318,3077,6,5,18,19.7,4.43,4,1,5700,773.84,1447557.87
P0319,1112,3,2,33,10.6,4.97,3,1,13200,435.35,580967.17
P0320,2535,6,5,32,13.2,1.43,4,6,18700,730.2,1463822.61
P0321,3870,6,5,30,20.8,3.86,4,3,6000,937.39,1717976.38
P0322,3790,6,5,14,22.5,4.92,4,6,7900,951.81,1790297.33
P0323,2976,6,5,22,34.9,0.24,4,6,18000,844.04,1487834.34
P0324,3869,6,5,19,7.9,0.29,4,4,18900,946.3,2044122.89
P0325,2706,6,5,21,35.0,1.09,4,6,21800,756.83,1465858.83
P0326,793,1,1,9,29.8,4.25,0,2,13000,277.19,290682.4
P0327,3262,6,5,6,13.8,1.68,4,7,19800,947.23,1803204.75
P0328,2851,6,5,22,9.6,2.99,4,7,11300,850.58,1476654.91
P0329,1756,3,2,0,36.1,4.75,2,10,4300,564.29,696639.85
P0330,3054,6,5,6,35.7,0.79,4,2,9500,788.4,1491952.88
P0331,1858,3,4,5,31.5,3.38,3,6,14900,552.58,973708.78
P0332,1985,5,4,0,3.3,2.25,4,3,14000,622.61,1283935.49
P0333,2101,5,5,24,5.2,2.45,4,4,7600,651.31,1130678.59
P0334,632,2,2,6,4.2,0.93,1,3,5400,279.46,428269.49
P0335,931,2,3,30,27.2,2.21,2,3,19000,402.56,558583.22
P0336,1391,2,2,35,27.9,3.68,1,5,11100,409.13,592859.98
P0337,753,2,3,35,32.2,0.85,1,1,14400,231.3,383957.31
P0338,2517,5,4,1,9.1,3.23,3,8,6400,724.9,1266818.05
P0339,2178,5,5,16,4.8,2.77,3,6,13200,645.98,1234152.26
P0340,2454,6,5,17,22.1,0.84,4,2,5600,712.53,1195078.0
P0341,3860,6,5,14,21.7,4.22,4,7,17200,1027.51,1966737.23
P0342,1515,4,4,5,15.9,4.28,2,9,18100,580.75,957266.64
P0343,3828,6,5,9,5.9,3.81,4,3,8900,985.89,1916776.07
P0344,3348,6,5,9,31.9,1.36,4,2,5700,845.45,1536495.48
P0345,2177,6,5,17,20.5,4.59,4,10,18500,744.12,1229862.63
P0346,1157,4,5,6,35.3,2.86,2,5,17200,466.27,718943.2
P0347,4145,6,5,24,25.4,2.9,4,1,7900,965.64,1873670.62
P0348,3391,6,5,25,34.0,1.72,4,1,15600,894.46,1637366.16
P0349,2075,4,4,19,12.8,4.23,4,2,9300,590.94,1082065.74
P0350,3932,6,5,26,23.6,0.54,4,4,13900,1009.85,1883141.41
P0351,3660,6,5,3,20.3,0.88,4,9,13800,960.36,1925763.23
P0352,668,1,1,12,32.0,1.32,0,1,12700,242.7,250269.78
P0353,1672,4,4,32,16.0,4.62,4,1,9600,530.21,799196.2
P0354,4115,6,5,35,14.3,0.9,4,2,10700,947.45,1924831.95
P0355,753,1,2,13,32.8,3.27,1,4,10300,323.7,249055.27
P0356,3693,6,5,30,34.8,3.27,4,1,9200,881.98,1591222.64
P0357,3847,6,5,17,17.0,1.94,4,8,9900,990.28,1855442.95
P0358,3104,6,5,6,1.8,5.0,4,9,20000,906.1,1840602.69
P0359,1707,4,5,6,19.1,1.75,3,6,10500,550.37,943641.28
P0360,1773,3,2,33,29.4,4.51,3,7,20400,580.1,829662.28
P0361,1123,4,3,31,37.9,1.37,3,7,13400,504.81,459092.99
P0362,3892,6,5,14,26.6,3.23,4,6,16400,982.58,1845633.91
P0363,1246,4,5,11,12.2,2.41,4,5,22000,545.11,960780.25
P0364,3334,6,5,5,9.6,1.19,4,7,11900,901.29,1746958.67
P0365,2948,6,5,7,18.7,4.35,4,10,19300,837.76,1663020.78
P0366,4103,6,5,33,12.4,0.36,4,3,8600,988.81,1905342.53
